9.263483643536121193e+00,-2.803972693146417949e+00,6.941235576923077133e+00
9.267114958174904160e+00,-2.761886799065421005e+00,6.920411870192308079e+00
9.267114958174904160e+00,-2.730322378504673075e+00,6.885705692307692694e+00
9.267114958174904160e+00,-2.693497221183800860e+00,6.847528896634615947e+00
9.278008902091254839e+00,-2.661932800623053375e+00,6.812822718750000561e+00
9.278008902091254839e+00,-2.630368380062305445e+00,6.774645923076923815e+00
9.274377587452471872e+00,-2.598803959501557959e+00,6.736469127403846180e+00
9.267114958174904160e+00,-2.567239538940810029e+00,6.684409860576923101e+00
9.252589699619772290e+00,-2.551457328660436286e+00,6.635821211538462272e+00
9.238064441064638643e+00,-2.530414381619937814e+00,6.580291326923076944e+00
9.216276553231939062e+00,-2.514632171339564071e+00,6.528232060096153866e+00
9.190857350760456512e+00,-2.519892908099688800e+00,6.448407850961539012e+00
9.161806833650189219e+00,-2.525153644859813529e+00,6.375524877403846880e+00
9.129125001901140735e+00,-2.525153644859813529e+00,6.295700668269231137e+00
9.100074484790873441e+00,-2.540935855140187272e+00,6.208935223557692673e+00
9.052867394486691310e+00,-2.551457328660436286e+00,6.108287307692307877e+00
9.009291618821292147e+00,-2.556718065420561015e+00,6.004168774038461720e+00
8.962084528517110016e+00,-2.561978802180685744e+00,5.903520858173076924e+00
8.911246123574144917e+00,-2.561978802180685744e+00,5.809814177884615738e+00
8.864039033269961010e+00,-2.551457328660436286e+00,5.702225026442308220e+00
8.813200628326995911e+00,-2.535675118380062543e+00,5.611988963942308395e+00
8.769624852661596748e+00,-2.519892908099688800e+00,5.521752901442307682e+00
8.722417762357414617e+00,-2.498849961059190328e+00,5.438458074519231467e+00
8.671579357414447742e+00,-2.477807014018691856e+00,5.369045718750000695e+00
8.624372267110265611e+00,-2.472546277258567127e+00,5.299633362980769924e+00
8.577165176806083480e+00,-2.467285540498442842e+00,5.223279771634615543e+00
8.537220715779467284e+00,-2.462024803738318113e+00,5.171220504807692464e+00
8.500907569391634055e+00,-2.462024803738318113e+00,5.136514326923077078e+00
8.464594423003802603e+00,-2.435721119937694912e+00,5.091396295673077610e+00
8.442806535171103022e+00,-2.419938909657321169e+00,5.025454557692308200e+00
8.431912591254752343e+00,-2.393635225856697968e+00,4.956042201923077428e+00
8.431912591254752343e+00,-2.356810068535825753e+00,4.897041699519230740e+00
8.446437849809885989e+00,-2.314724174454828809e+00,4.838041197115384939e+00
8.475488366920151506e+00,-2.262116806853582851e+00,4.813746872596154525e+00
8.515432827946767702e+00,-2.188466492211838421e+00,4.785981930288461861e+00
8.559008603612166866e+00,-2.099033967289719804e+00,4.761687605769231446e+00
8.598953064638783061e+00,-2.004340705607476902e+00,4.723510810096153811e+00
8.631634896387831546e+00,-1.914908180685358507e+00,4.667980925480769372e+00
8.657054098859315872e+00,-1.835997129283489349e+00,4.626333512019231264e+00
8.696998559885930291e+00,-1.762346814641744697e+00,4.588156716346154518e+00
8.733311706273763519e+00,-1.709739447040498517e+00,4.570803627403846825e+00
8.762362223384030813e+00,-1.678175026479751031e+00,4.591627334134615879e+00
8.802306684410645232e+00,-1.662392816199377066e+00,4.633274747596153986e+00
8.834988516159695493e+00,-1.657132079439252559e+00,4.685334014423077065e+00
8.867670347908743977e+00,-1.662392816199377066e+00,4.751275752403846475e+00
8.893089550380228303e+00,-1.683435763239875538e+00,4.817217490384615886e+00
8.918508752851710852e+00,-1.693957236760124774e+00,4.886629846153846657e+00
8.940296640684410434e+00,-1.709739447040498517e+00,4.959512819711538789e+00
8.972978472433458919e+00,-1.720260920560747753e+00,5.046278264423077253e+00
9.002028989543726212e+00,-1.730782394080996989e+00,5.126102473557692996e+00
9.038342135931557664e+00,-1.720260920560747753e+00,5.198985447115385128e+00
9.074655282319390892e+00,-1.720260920560747753e+00,5.282280274038462231e+00
9.110968428707224120e+00,-1.715000183800623246e+00,5.369045718750000695e+00
9.150912889733840316e+00,-1.704478710280374010e+00,5.445399310096154188e+00
9.194488665399239480e+00,-1.693957236760124774e+00,5.532164754807692653e+00
9.230801811787072708e+00,-1.678175026479751031e+00,5.625871435096153839e+00
9.263483643536121193e+00,-1.657132079439252559e+00,5.719578115384615913e+00
9.292534160646386709e+00,-1.636089132398754087e+00,5.806343560096154377e+00
9.317953363117871035e+00,-1.625567658878504851e+00,5.889638387019231480e+00
9.343372565589353584e+00,-1.625567658878504851e+00,5.972933213942307695e+00
9.361529138783270199e+00,-1.615046185358255615e+00,6.070110512019231130e+00
9.376054397338402069e+00,-1.615046185358255615e+00,6.146464103365384624e+00
9.397842285171101651e+00,-1.620306922118380122e+00,6.243641401442308059e+00
9.401473599809886394e+00,-1.625567658878504851e+00,6.323465610576923801e+00
9.423261487642585976e+00,-1.625567658878504851e+00,6.399819201923077294e+00
9.441418060836500814e+00,-1.630828395638629358e+00,6.483114028846154397e+00
9.455943319391634461e+00,-1.630828395638629358e+00,6.552526384615385169e+00
9.470468577946768107e+00,-1.630828395638629358e+00,6.639291829326923633e+00
9.474099892585551075e+00,-1.620306922118380122e+00,6.719116038461538487e+00
9.477731207224334042e+00,-1.609785448598131108e+00,6.774645923076923815e+00
9.481362521863117010e+00,-1.594003238317757143e+00,6.833646425480769615e+00
9.477731207224334042e+00,-1.583481764797507907e+00,6.899588163461539025e+00
9.477731207224334042e+00,-1.562438817757009435e+00,6.955118048076923465e+00
9.477731207224334042e+00,-1.541395870716510963e+00,7.010647932692307904e+00
9.466837263307985140e+00,-1.525613660436137220e+00,7.062707199519230983e+00
